Sample,Pop,Age
PM_BR_24,BR,BR
PM_BR_13,BR,BR
PM_BR_14,BR,BR
PM_SM_10,SM,SM
PM_BR_15,BR,BR
PM_SM_18,SM,SM
PM_SM_4,SM,SM
PM_SM_12,SM,SM
PM_17_DCJ_10_14,DCJ,DCJ-2
PM_17_DCJ_6_16,DCJ,DCJ-2
PM_17_DCJ_6_12,DCJ,DCJ-2
PM_CARP_4,CARP,CARP
PM_BR_22,BR,BR
PM_17_DCJ_7_16,DCJ,DCJ-2
PM_CARP_6,CARP,CARP
PM_17_DCJ_6_27,DCJ,DCJ-2
PM_CARP_5,CARP,CARP
PM_17_DCJ_7_75,DCJ,DCJ-2
PM_SM_5,SM,SM
PM_17_SC_116,SC,SC-3
PM_17_DCJ_7_20,DCJ,DCJ-2
PM_CARP_7,CARP,CARP
PM_CARP_12,CARP,CARP
PM_17_SC_117,SC,SC-3
PM_17_SC_110,SC,DCJ-2
PM_17_DCJ_4_12,DCJ,DCJ-1
PM_17_DCJ_7_98,DCJ,DCJ-2
PM_SM_7,SM,SM
PM_BR_3,BR,BR
PM_SM_25,SM,SM
PM_17_DCJ_10_22,DCJ,DCJ-2
PM_17_SC_123,SC,SC-3
PM_17_SC_114,SC,SC-3
PM_17_DCJ_1_11,DCJ,DCJ-1
PM_BR_25,BR,BR
PM_BR_8,BR,BR
PM_SM_20,SM,SM
PM_17_SC_118,SC,SC-3
PM_BR_6,BR,BR
PM_BR_1,BR,BR
PM_BR_9,BR,BR
PM_SM_6,SM,SM
PM_17_DCJ_7_105,DCJ,DCJ-2
PM_17_DCJ_7_100,DCJ,DCJ-1
PM_17_DCJ_4_7,DCJ,DCJ-2
PM_17_DCJ_10_21,DCJ,DCJ-1
PM_CARP_3,CARP,CARP
PM_17_DCJ_7_35,DCJ,DCJ-2
PM_17_DCJ_11_11,DCJ,DCJ-2
PM_17_SC_105,SC,SC-3
PM_CARP_13,CARP,CARP
PM_BR_17,BR,BR
PM_17_SC_113,SC,SC-3
PM_17_DCJ_7_44,DCJ,DCJ-3
PM_SM_9,SM,SM
PM_SM_21,SM,SM
PM_SM_24,SM,SM
PM_17_DCJ_10_1,DCJ,DCJ-3
PM_17_DCJ_7_4,DCJ,DCJ-3
PM_17_SC_124,SC,SC-2
PM_17_SC_112,SC,SC-3
PM_17_SC_103,SC,SC-2
PM_SM_19,SM,SM
PM_SM_8,SM,SM
PM_CARP_8,CARP,CARP
PM_17_SC_101,SC,SC-2
PM_17_SC_122,SC,SC-3
PM_SM_3,SM,SM
PM_17_SC_111,SC,SC-2
PM_SM_16,SM,SM
PM_SM_1,SM,SM
PM_SM_2,SM,SM
PM_17_DCJ_7_59,DCJ,DCJ-3
PM_17_DCJ_7_108,DCJ,DCJ-1
PM_17_SC_11,SC,SC-3
PM_BR_12,BR,BR
PM_17_SC_130,SC,SC-2
PM_17_DCJ_6_6,DCJ,DCJ-2
PM_BR_5,BR,BR
PM_17_DCJ_11_1,DCJ,DCJ-2
PM_17_DCJ_6_7,DCJ,DCJ-3
PM_BR_10,BR,BR
PM_17_SC_129,SC,SC-2
PM_17_SC_115,SC,SC-3
PM_CARP_11,CARP,CARP
PM_SM_17,SM,SM
PM_17_DCJ_7_1,DCJ,DCJ-3
PM_17_DCJ_6_14,DCJ,DCJ-3
PM_17_SC_107,SC,SC-2
PM_17_DCJ_1_12,DCJ,DCJ-1
PM_BR_4,BR,BR
PM_17_DCJ_7_41,DCJ,DCJ-2
PM_BR_7,BR,BR
PM_BR_16,BR,BR
PM_17_DCJ_7_38,DCJ,DCJ-3
PM_BR_19,BR,BR
PM_17_DCJ_7_101,DCJ,DCJ-1
PM_CARP_1,CARP,CARP
PM_17_DCJ_11_3,DCJ,DCJ-2
PM_17_DCJ_1_6,DCJ,DCJ-2
PM_CARP_9,CARP,CARP
PM_BR_20,BR,BR
PM_17_DCJ_11_15,DCJ,DCJ-2
PM_SM_23,SM,SM
PM_SM_14,SM,SM
PM_17_DCJ_7_9,DCJ,DCJ-2
PM_17_SC_104,SC,SC-2
PM_17_SC_119,SC,SC-3
PM_BR_2,BR,BR
PM_17_SC_128,SC,SC-2
PM_SM_22,SM,SM
PM_SM_13,SM,SM
PM_17_DCJ_7_30,DCJ,DCJ-3
PM_17_SC_121,SC,SC-3
PM_17_DCJ_7_33,DCJ,DCJ-2
PM_BR_23,BR,BR
PM_17_SC_13,SC,SC-2
PM_17_DCJ_7_53,DCJ,DCJ-2
PM_17_SC_127,SC,SC-2
PM_17_DCJ_1_15,DCJ,DCJ-1
PM_CARP_2,CARP,CARP
PM_CARP_10,CARP,CARP
PM_BR_21,BR,BR
PM_SM_15,SM,SM
PM_SM_11,SM,SM
PM_17_DCJ_1_1,DCJ,DCJ-2
PM_BR_18,BR,BR
PM_17_DCJ_7_10,DCJ,DCJ-3
PM_17_SC_109,SC,SC-2
PM_17_DCJ_7_58,DCJ,DCJ-3
PM_17_DCJ_6_1,DCJ,DCJ-3
PM_17_DCJ_7_3,DCJ,DCJ-3
PM_17_SC_125,SC,SC-3
PM_17_SC_126,SC,SC-2
PM_17_DCJ_11_2,DCJ,DCJ-3
PM_17_SC_120,SC,SC-3
PM_CARP_14A,CARP,CARP
PM_17_SC_108,SC,SC-2
PM_CARP_15,CARP,CARP
PM_BR_11,BR,BR
